State;Location;Date Posted;Date Collected;Sample Type;Unit;Ba-140;Co-60;Cs-134;Cs-136;Cs-137;I-131;I-132;I-133;Te-129;Te-129m;Te-132
ID;Boise;1301443200000000000;1300838400000000000;Air Filter;pCi/m3;;;;;;0.08800000000000001;;;;;
ID;Boise;1301443200000000000;1300838400000000000;Air Filter;pCi/m3;;;;;;0.055;;;;;
AK;Juneau;1301443200000000000;1300838400000000000;Air Filter;pCi/m3;;;0.0057;;0.0074;0.067;;;;;0.0043
AK;Nome;1301443200000000000;1300752000000000000;Air Filter;pCi/m3;;;;;;0.096;;;;;
AK;Nome;1301443200000000000;1300838400000000000;Air Filter;pCi/m3;;;;;;0.22;;;;;
AK;Nome;1301443200000000000;1300838400000000000;Air Filter;pCi/m3;;;0.016;;0.023;0.2;0.019;;;;0.027000000000000003
AK;Nome;1301875200000000000;1300924800000000000;Air Filter;pCi/m3;;;0.14;;0.12;0.43;0.094;;;;0.14
AK;Nome;1301875200000000000;1300924800000000000;Air Filter;pCi/m3;;;0.1;0.012;0.13;0.39;0.076;;0.12;0.061;0.12
HI;Oahu;1301443200000000000;1300579200000000000;Air Filter;pCi/m3;;;0.034;;0.021;0.2;;;;;
HI;Oahu;1301443200000000000;1300579200000000000;Air Filter;pCi/m3;;;0.027999999999999997;;0.036000000000000004;0.14;0.02;;;;0.028999999999999998
HI;Oahu;1301443200000000000;1300665600000000000;Air Filter;pCi/m3;;;0.076;;0.092;0.64;0.052000000000000005;;;;0.063
HI;Oahu;1301875200000000000;1300665600000000000;Air Filter;pCi/m3;;;0.09300000000000001;;0.12;0.66;;;;;0.051
HI;Oahu;1301443200000000000;1300838400000000000;Air Filter;pCi/m3;;;;;;0.059000000000000004;;;;;
CA;Anaheim;1301443200000000000;1300579200000000000;Air Cartridge;pCi/m3;;;;;;0.87;;;;;
CA;Anaheim;1301443200000000000;1300665600000000000;Air Cartridge;pCi/m3;;;;;;1.9;;;;;
HI;Oahu;1301443200000000000;1300838400000000000;Air Filter;pCi/m3;;;0.013000000000000001;;0.016;0.053;;;;;0.0087
CA;Anaheim;1301875200000000000;1301011200000000000;Air Filter;pCi/m3;;;0.026000000000000002;;0.031;0.22;0.02;;;;0.023
CA;Anaheim;1301443200000000000;1300752000000000000;Air Cartridge;pCi/m3;;;;;;0.53;;;;;
AK;Nome;1301443200000000000;1300752000000000000;Air Cartridge;pCi/m3;;;;;;0.34;;;;;
AK;Nome;1301443200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.78;;;;;
HI;Oahu;1301443200000000000;1300579200000000000;Air Cartridge;pCi/m3;;;;;;0.76;;;;;
HI;Oahu;1301443200000000000;1300665600000000000;Air Cartridge;pCi/m3;;;;;;1.4;;;;;
HI;Oahu;1301443200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.18;;;;;
CA;San Bernardino;1301443200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.45;;;;;
CA;Anaheim;1301443200000000000;1299801600000000000;Air Filter;pCi/m3;;;;;;;;;;;
CA;Anaheim;1301443200000000000;1300147200000000000;Air Filter;pCi/m3;;;;;;;;;;;
CA;Anaheim;1301443200000000000;1300406400000000000;Air Filter;pCi/m3;;;0.0012;;0.0017;0.046;0.0095;;;;0.012
CA;Anaheim;1301443200000000000;1300579200000000000;Air Filter;pCi/m3;;;;;;0.13;;;;;0.019
CA;Anaheim;1301443200000000000;1300579200000000000;Air Filter;pCi/m3;;;0.0076;;0.008;0.13;0.018000000000000002;;;;0.022000000000000002
CA;Anaheim;1301443200000000000;1300665600000000000;Air Filter;pCi/m3;;;;;;0.17;;;;;0.031
CA;Anaheim;1301443200000000000;1300665600000000000;Air Filter;pCi/m3;;;0.017;;0.021;0.15;0.022000000000000002;;;;0.031
CA;Anaheim;1301443200000000000;1300752000000000000;Air Filter;pCi/m3;;;;;;0.09300000000000001;;;;;
CA;Anaheim;1301443200000000000;1300752000000000000;Air Filter;pCi/m3;;;;;0.0015;0.08;;;;;
ID;Boise;1301443200000000000;1300665600000000000;Air Filter;pCi/m3;;;;;;0.13;;;;;
ID;Boise;1301443200000000000;1300665600000000000;Air Filter;pCi/m3;;;0.012;;0.017;0.11;;;;;0.01
ID;Boise;1301443200000000000;1300752000000000000;Air Filter;pCi/m3;;;0.0084;;0.0096;0.098;;;;;0.0052
CA;Anaheim;1301875200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.3;;;;;
CA;Anaheim;1301875200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
ID;Boise;1301875200000000000;1300665600000000000;Air Cartridge;pCi/m3;;;;;;0.5;;;;;
ID;Boise;1301443200000000000;1300752000000000000;Air Cartridge;pCi/m3;;;;;;0.66;;;;;
ID;Boise;1301443200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.49;;;;;
ID;Boise;1301875200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.37;;;;;
ID;Boise;1301875200000000000;1300924800000000000;Air Cartridge;pCi/m3;;;;;;0.77;;;;;
ID;Boise;1301875200000000000;1301011200000000000;Air Cartridge;pCi/m3;;;;;;0.75;;;;;
ID;Boise;1301875200000000000;1301097600000000000;Air Cartridge;pCi/m3;;;;;;0.41;;;;;
ID;Boise;1302220800000000000;1301184000000000000;Air Cartridge;pCi/m3;;;;;;0.22;;;;;
ID;Boise;1302220800000000000;1301270400000000000;Air Cartridge;pCi/m3;;;;;;0.32;;;;;
ID;Boise;1302220800000000000;1301356800000000000;Air Cartridge;pCi/m3;;;;;;0.27;;;;;
ID;Boise;1302393600000000000;1301443200000000000;Air Cartridge;pCi/m3;;;;;;0.24;;;;;
ID;Boise;1302393600000000000;1301616000000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
ID;Boise;1302393600000000000;1301616000000000000;Air Cartridge;pCi/m3;;;;;;0.048;;;;;
ID;Boise;1302393600000000000;1301702400000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
ID;Boise;1302393600000000000;1301788800000000000;Air Cartridge;pCi/m3;;;;;;0.055;;;;;
AK;Dutch Harbor;1301443200000000000;1300492800000000000;Air Cartridge;pCi/m3;;;;;;2.4;;;;;
AK;Dutch Harbor;1301443200000000000;1300579200000000000;Air Cartridge;pCi/m3;;;;;;2.8;;;;;
AK;Dutch Harbor;1301443200000000000;1300665600000000000;Air Cartridge;pCi/m3;;;;;;0.52;;;;;
AK;Dutch Harbor;1301443200000000000;1300752000000000000;Air Cartridge;pCi/m3;;;;;;0.78;;;;;
AK;Dutch Harbor;1301875200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.069;;;;;
AK;Dutch Harbor;1301875200000000000;1300924800000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
AK;Dutch Harbor;1302307200000000000;1301011200000000000;Air Cartridge;pCi/m3;;;;;;0.39;;;;;
AK;Dutch Harbor;1302220800000000000;1301097600000000000;Air Cartridge;pCi/m3;;;;;;0.21;;;;;
AK;Dutch Harbor;1302307200000000000;1301184000000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
AK;Dutch Harbor;1302307200000000000;1301184000000000000;Air Cartridge;pCi/m3;;;;;;0.2;;;;;
AK;Dutch Harbor;1302307200000000000;1301270400000000000;Air Cartridge;pCi/m3;;;;;;0.19;;;;;
AK;Dutch Harbor;1302220800000000000;1301356800000000000;Air Cartridge;pCi/m3;;;;;;0.11;;;;;
AK;Dutch Harbor;1302220800000000000;1301443200000000000;Air Cartridge;pCi/m3;;;;;;0.14;;;;;
AK;Dutch Harbor;1302393600000000000;1301529600000000000;Air Cartridge;pCi/m3;;;;;;0.06;;;;;
AK;Dutch Harbor;1302393600000000000;1301616000000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
AK;Dutch Harbor;1302393600000000000;1301702400000000000;Air Cartridge;pCi/m3;;;;;;0.076;;;;;
Guam;Guam;1301443200000000000;1300492800000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
AK;Dutch Harbor;1301443200000000000;1300492800000000000;Air Filter;pCi/m3;;;0.037000000000000005;;0.053;0.66;0.17;;;;0.19
Guam;Guam;1301443200000000000;1300579200000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;1301443200000000000;1300665600000000000;Air Cartridge;pCi/m3;;;;;;0.64;;;;;
Guam;Guam;1301443200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.19;;;;;
Guam;Guam;1301875200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;1301875200000000000;1300924800000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;1302220800000000000;1301011200000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;1302220800000000000;1301097600000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;1302220800000000000;1301184000000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;1302307200000000000;1301270400000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;1302220800000000000;1301356800000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;1302393600000000000;1301443200000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;1302393600000000000;1301529600000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;1302393600000000000;1301616000000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam ;Guam;1302393600000000000;1301702400000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam ;Guam;1302393600000000000;1301788800000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam ;Guam;1302393600000000000;1301875200000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
AK;Juneau;1301443200000000000;1300665600000000000;Air Cartridge;pCi/m3;;;;;;0.037000000000000005;;;;;
AK;Juneau;1301443200000000000;1300752000000000000;Air Cartridge;pCi/m3;;;;;;0.18;;;;;
AK;Juneau;1301443200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.25;;;;;
AK;Juneau;1301875200000000000;1300924800000000000;Air Cartridge;pCi/m3;;;;;;0.22;;;;;
AK;Juneau;1301875200000000000;1301011200000000000;Air Cartridge;pCi/m3;;;;;;0.09300000000000001;;;;;
AK;Juneau;1302220800000000000;1301097600000000000;Air Cartridge;pCi/m3;;;;;;0.43;;;;;
AK;Juneau;1302220800000000000;1301184000000000000;Air Cartridge;pCi/m3;;;;;;0.38;;;;;
AK;Juneau;1302307200000000000;1301270400000000000;Air Cartridge;pCi/m3;;;;;;0.28;;;;;
AK;Juneau;1302307200000000000;1301356800000000000;Air Cartridge;pCi/m3;;;;;;0.31;;;;;
AK;Juneau;1302220800000000000;1301443200000000000;Air Cartridge;pCi/m3;;;;;;0.14;;;;;
AK;Juneau;1302393600000000000;1301529600000000000;Air Cartridge;pCi/m3;;;;;;0.061;;;;;
AK;Juneau;1302393600000000000;1301616000000000000;Air Cartridge;pCi/m3;;;;;;0.098;;;;;
AK;Juneau;1302393600000000000;1301702400000000000;Air Cartridge;pCi/m3;;;;;;0.071;;;;;
AK;Juneau;1302393600000000000;1301788800000000000;Air Cartridge;pCi/m3;;;;;;0.077;;;;;
AK;Juneau;1302393600000000000;1301875200000000000;Air Cartridge;pCi/m3;;;;;;0.073;;;;;
AK ;Juneau;1302393600000000000;1301961600000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;1301875200000000000;1300665600000000000;Air Cartridge;pCi/m3;;;;;;1.07;;;;;
HI;Kauai;1301875200000000000;1300752000000000000;Air Cartridge;pCi/m3;;;;;;0.18;;;;;
HI;Kauai;1301875200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.3;;;;;
HI;Kauai;1301875200000000000;1300924800000000000;Air Cartridge;pCi/m3;;;;;;0.16;;;;;
HI;Kauai;1302307200000000000;1301011200000000000;Air Cartridge;pCi/m3;;;;;;0.56;;;;;
HI;Kauai;1302307200000000000;1301097600000000000;Air Cartridge;pCi/m3;;;;;;0.47;;;;;
HI;Kauai;1302307200000000000;1301184000000000000;Air Cartridge;pCi/m3;;;;;;0.35;;;;;
HI;Kauai;1302393600000000000;1301270400000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;1302393600000000000;1301356800000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;1302393600000000000;1301443200000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;1302393600000000000;1301529600000000000;Air Cartridge;pCi/m3;;;;;;0.086;;;;;
HI;Kauai;1302393600000000000;1301616000000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;1302393600000000000;1301702400000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;1302393600000000000;1301788800000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
NV;Las Vegas;1301443200000000000;1300406400000000000;Air Cartridge;pCi/m3;;;;;;0.18;;;;;
NV;Las Vegas;1301443200000000000;1300665600000000000;Air Cartridge;pCi/m3;;;;;;1.1;;;;;
NV;Las Vegas;1301443200000000000;1300752000000000000;Air Cartridge;pCi/m3;;;;;;0.64;;;;;
NV;Las Vegas;1301443200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.35;;;;;
NV;Las Vegas;1301875200000000000;1300924800000000000;Air Cartridge;pCi/m3;;;;;;0.61;;;;;
NV;Las Vegas;1301875200000000000;1301011200000000000;Air Cartridge;pCi/m3;;;;;;0.8;;;;;
NV;Las Vegas;1302220800000000000;1301270400000000000;Air Cartridge;pCi/m3;;;;;;0.3;;;;;
NV;Las Vegas;1302220800000000000;1301356800000000000;Air Cartridge;pCi/m3;;;;;;0.044000000000000004;;;;;
NV;Las Vegas;1302220800000000000;1301443200000000000;Air Cartridge;pCi/m3;;;;;;0.08800000000000001;;;;;
NV;Las Vegas;1302393600000000000;1301529600000000000;Air Cartridge;pCi/m3;;;;;;0.1;;;;;
NV;Las Vegas;1302393600000000000;1301616000000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
AL;Montgomery;1301443200000000000;1300924800000000000;Air Cartridge;pCi/m3;;;;;;0.15;;;;;
AL;Montgomery;1301875200000000000;1301270400000000000;Air Cartridge;pCi/m3;;;;;;0.12;;;;;
AL;Montgomery;1302220800000000000;1301529600000000000;Air Cartridge;pCi/m3;;;;;;0.055;;;;;
AL;Montgomery;1302393600000000000;1301875200000000000;Air Cartridge;pCi/m3;;;;;;0.069;;;;;
AL;Montgomery;1302393600000000000;1301961600000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
AK;Nome;1301443200000000000;1300579200000000000;Air Cartridge;pCi/m3;;;;;;0.11;;;;;
AK;Nome;1301443200000000000;1300665600000000000;Air Cartridge;pCi/m3;;;;;;0.41;;;;;
AK;Nome;1301875200000000000;1300924800000000000;Air Cartridge;pCi/m3;;;;;;1.46;;;;;
AK;Nome;1302220800000000000;1301011200000000000;Air Cartridge;pCi/m3;;;;;;0.26;;;;;
AK;Nome;1302220800000000000;1301097600000000000;Air Cartridge;pCi/m3;;;;;;0.46;;;;;
AK;Nome;1302220800000000000;1301184000000000000;Air Cartridge;pCi/m3;;;;;;0.36;;;;;
AK;Nome;1302393600000000000;1301270400000000000;Air Cartridge;pCi/m3;;;;;;0.23;;;;;
AK;Nome;1302220800000000000;1301356800000000000;Air Cartridge;pCi/m3;;;;;;0.36;;;;;
AK;Nome;1302220800000000000;1301443200000000000;Air Cartridge;pCi/m3;;;;;;0.17;;;;;
AK;Nome;1302393600000000000;1301529600000000000;Air Cartridge;pCi/m3;;;;;;0.061;;;;;
AK;Nome;1302393600000000000;1301616000000000000;Air Cartridge;pCi/m3;;;;;;0.05;;;;;
AK;Nome;1302393600000000000;1301702400000000000;Air Cartridge;pCi/m3;;;;;;0.055999999999999994;;;;;
AK;Nome;1302393600000000000;1301788800000000000;Air Cartridge;pCi/m3;;;;;;0.08900000000000001;;;;;
AK;Nome;1302393600000000000;1301875200000000000;Air Cartridge;pCi/m3;;;;;;0.086;;;;;
AK;Nome;1302393600000000000;1301961600000000000;Air Cartridge;pCi/m3;;;;;;0.14;;;;;
ID;Boise;1301875200000000000;1300838400000000000;Air Filter;pCi/m3;;;0.047;0.0071;0.062;0.84;0.027999999999999997;;;;0.051
AK;Nome;1302393600000000000;1301961600000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;1301875200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.81;;;;;
HI;Oahu;1301875200000000000;1300924800000000000;Air Cartridge;pCi/m3;;;;;;0.25;;;;;
HI;Oahu;1301875200000000000;1301011200000000000;Air Cartridge;pCi/m3;;;;;;0.41;;;;;
HI;Oahu;1302307200000000000;1301097600000000000;Air Cartridge;pCi/m3;;;;;;0.52;;;;;
HI;Oahu;1302307200000000000;1301184000000000000;Air Cartridge;pCi/m3;;;;;;0.27;;;;;
HI;Oahu;1302307200000000000;1301270400000000000;Air Cartridge;pCi/m3;;;;;;0.13;;;;;
HI;Oahu;1302220800000000000;1301356800000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;1302220800000000000;1301443200000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;1302393600000000000;1301529600000000000;Air Cartridge;pCi/m3;;;;;;0.08900000000000001;;;;;
HI;Oahu;1302393600000000000;1301616000000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;1302393600000000000;1301702400000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;1302393600000000000;1301788800000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;1302393600000000000;1301875200000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;1301443200000000000;1300665600000000000;Air Cartridge;pCi/m3;;;;;;0.78;;;;;
CNMI;Saipan;1301875200000000000;1300752000000000000;Air Cartridge;pCi/m3;;;;;;0.58;;;;;
CNMI;Saipan;1301875200000000000;1300838400000000000;Air Cartridge;pCi/m3;;;;;;0.07200000000000001;;;;;
CNMI;Saipan;1301875200000000000;1300924800000000000;Air Cartridge;pCi/m3;;;;;;0.057;;;;;
CNMI;Saipan;1302307200000000000;1301011200000000000;Air Cartridge;pCi/m3;;;;;;0.22;;;;;
CNMI;Saipan;1302307200000000000;1301097600000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;1302307200000000000;1301184000000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;1302220800000000000;1301270400000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;1302393600000000000;1301356800000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;1302393600000000000;1301443200000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;1302393600000000000;1301529600000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;1302393600000000000;1301616000000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;1302393600000000000;1301702400000000000;Air Cartridge;pCi/m3;;;;;;;;;;;
CA;San Bernardino;1301443200000000000;1300579200000000000;Air Cartridge;pCi/m3;;;;;;0.69;;;;;
CA;San Bernardino;1301443200000000000;1300752000000000000;Air Cartridge;pCi/m3;;;;;;1.1;;;;;
ID;Boise;1301875200000000000;1300838400000000000;Air Filter;pCi/m3;;;;;;0.068;;;;;
AK;Dutch Harbor;1301443200000000000;1300492800000000000;Air Filter;pCi/m3;;;0.043;;0.063;0.69;0.29;;;;0.4
AK;Dutch Harbor;1301443200000000000;1300579200000000000;Air Filter;pCi/m3;;;0.0098;;0.013999999999999999;0.2;0.034;;;;0.027999999999999997
AK;Dutch Harbor;1301443200000000000;1300752000000000000;Air Filter;pCi/m3;;;0.07200000000000001;;0.053;0.077;;;;;0.1
AK;Dutch Harbor;1301443200000000000;1300752000000000000;Air Filter;pCi/m3;;;0.069;;0.08800000000000001;0.078;0.079;;;;0.12
AK;Dutch Harbor;1301875200000000000;1300838400000000000;Air Filter;pCi/m3;;;;;;;;;;;
AK;Dutch Harbor;1301875200000000000;1300838400000000000;Air Filter;pCi/m3;;;0.012;;0.012;0.036000000000000004;0.011000000000000001;;;;0.018000000000000002
Guam;Guam;1301443200000000000;1300665600000000000;Air Filter;pCi/m3;;;0.018000000000000002;;0.021;0.13;0.02;;;;0.034
Guam;Guam;1301443200000000000;1300838400000000000;Air Filter;pCi/m3;;;;;;0.066;;;;;
Guam;Guam;1301443200000000000;1300838400000000000;Air Filter;pCi/m3;;;0.0034;;0.0047;0.052000000000000005;;;;;0.0076
HI;Honolulu;1301443200000000000;1300665600000000000;Air Filter;pCi/m3;;;0.0051;;0.006999999999999999;0.23;0.006;;;;0.0061
FL;Jacksonville;1301875200000000000;1300924800000000000;Air Filter;pCi/m3;;;0.0073;;0.0082;0.14;0.011000000000000001;;;;0.016
AK;Juneau;1301443200000000000;1300752000000000000;Air Filter;pCi/m3;;;;;;0.064;;;;;
AK;Juneau;1301443200000000000;1300752000000000000;Air Filter;pCi/m3;;;0.0036;;0.004;0.055999999999999994;;;;;0.0037
AK;Juneau;1301443200000000000;1300838400000000000;Air Filter;pCi/m3;;;;;;0.079;;;;;
AK;Juneau;1301875200000000000;1300924800000000000;Air Filter;pCi/m3;;;;;;0.035;;;;;
